,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,temperature,a,b,c
0,3.5014504433033014,1.3610475749607365,3.062604691107433,3.596941809443882,0.16557400357802107,0.0040811597018453796,0.052238935686099254,0.21862481022869404,298,9.205429583791437,6.356333291021157,7.65535414849718
1,3.5014504433033014,1.3610475749607365,3.062604691107433,3.596941809443882,0.16557400357802107,0.0040811597018453796,0.052238935686099254,0.21862481022869404,78,8.965985189738465,6.449831678327502,7.559059637966731
2,3.5014504433033014,1.3610475749607365,3.062604691107433,3.596941809443882,0.16557400357802107,0.0040811597018453796,0.052238935686099254,0.21862481022869404,10,8.941350817757787,6.454843216891555,7.54915028778468
3,3.5020793366259446,0.695249855545913,3.0650709229441766,3.725917836871027,0.12835379295351862,0.013633934456594658,0.02978441434979074,0.05436175365773052,298,8.858118095535566,7.029709994336165,7.060908209895053
4,3.5020793366259446,0.695249855545913,3.0650709229441766,3.725917836871027,0.12835379295351862,0.013633934456594658,0.02978441434979074,0.05436175365773052,78,8.626523042145594,6.867209339996668,7.09696720982366
5,3.5020793366259446,0.695249855545913,3.0650709229441766,3.725917836871027,0.12835379295351862,0.013633934456594658,0.02978441434979074,0.05436175365773052,10,8.579067841162752,6.839355795879838,7.096212090454772
6,3.5043821476556896,1.9811002266486455,2.6777960947725052,2.9638074828886367,0.7298226750352467,0.005495480000868001,0.0613003201661424,0.08081689569089259,298,8.372591955688822,5.475015952856905,6.8921131474262864
7,3.5043821476556896,1.9811002266486455,2.6777960947725052,2.9638074828886367,0.7298226750352467,0.005495480000868001,0.0613003201661424,0.08081689569089259,78,8.330563918957187,5.369413549114331,6.798190794031555
8,3.5043821476556896,1.9811002266486455,2.6777960947725052,2.9638074828886367,0.7298226750352467,0.005495480000868001,0.0613003201661424,0.08081689569089259,10,8.327793012160587,5.339282114054084,6.778583527736132
9,3.506308038664469,1.9070592343127721,2.740028159495892,2.6708985270766616,0.275730608075659,0.0031491636138904003,0.1655594490038321,0.2759329822612586,298,8.332597253706481,5.256273804986395,6.791201992360962
10,3.506308038664469,1.9070592343127721,2.740028159495892,2.6708985270766616,0.275730608075659,0.0031491636138904003,0.1655594490038321,0.2759329822612586,78,8.263285520156588,5.17178847498473,6.7330108597130005
11,3.506308038664469,1.9070592343127721,2.740028159495892,2.6708985270766616,0.275730608075659,0.0031491636138904003,0.1655594490038321,0.2759329822612586,10,8.247373633266701,5.150372696707202,6.7178877062183195
