,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
661372,0.169879210644064,0.725297050574315,0.699286917890789,0.665630680749381,0.985019601884824,0.685249562872519,0.338901807838594,0.264610969192972,True
678743,0.408396454094253,0.703748852535571,0.579558394824696,0.642000023415203,0.998841402769908,0.636095474508643,0.140908239578879,0.405028425265343,True
752544,0.196512666385684,0.828615969440933,0.638115056221519,0.68270623745852,0.889737570367201,0.48653496997746,0.250201530521991,0.219880571306585,True
874447,0.299900170713765,0.778549115679881,0.55409456929605,0.660841035595626,0.9595927913367,0.597820581428589,0.0530347529202173,0.391098203223049,True
40476,0.585520740510938,0.811615725447884,0.450841788855693,0.570254458617229,0.200447711866113,0.147531967080136,0.958927194840089,0.572657226109552,True
460734,0.166360087037336,0.689561550959342,0.578497864248373,0.506888246102353,0.559808192262164,0.492273665623224,0.104383185045675,0.888947592045377,True
140358,0.597865481059484,0.863308714097398,0.754491754864734,0.527698280367292,0.714570517689471,0.702929000558542,0.672193200542416,0.489730760195168,True
178390,0.956470322052667,0.743774174179985,0.434319188191768,0.44402075968575,0.530641471585522,0.932597499971764,0.632882482834259,0.276452667128227,True
201453,0.662582018733314,0.790696863741193,0.430096940820962,0.462565895832047,0.880748103534205,0.488593460430566,0.413441685670688,0.416231632266161,True
679023,0.337932351572866,0.805548459339592,0.0723635113494453,0.791966442550243,0.775544535423212,0.220238745293897,0.728755410280586,0.474988939218978,True
126859,0.011769168579898,0.675036439346591,0.449036529806804,0.626885941615917,0.823105307834721,0.5616472426528,0.0887139979539724,0.390526838569125,True
971254,0.540161189899206,0.721433100681947,0.503054174141602,0.574940796834371,0.937361303130223,0.975060773497992,0.181218889604486,0.512585148588026,True
338318,0.602399318951879,0.586999373010811,0.61280945601936,0.594034057160252,0.764927970492198,0.984859886468189,0.462473394501018,0.150220957372483,True
562403,0.395144556406657,0.680280008341904,0.51531777204717,0.530141089207709,0.559852621405975,0.266119075290291,0.908992308901837,0.961909967966211,True
73150,0.314711507533125,0.853019408806705,0.539699667253106,0.632891114853037,0.882063148343779,0.344375421019276,0.718207073410839,0.772954923023136,True
50083,0.841926980592183,0.699753600774657,0.579810995210787,0.6489355091196,0.79000281119082,0.307785670508414,0.366094359964895,0.906956673290968,True
380190,0.0802280094266293,0.770981759902543,0.434457516453031,0.648910318010841,0.194403570284389,0.157836991060129,0.594294176108045,0.677338945950128,True
348647,0.447520463116397,0.757459876680284,0.26905466805901,0.800179783081868,0.646564415333592,0.553715633579268,0.289134753084941,0.315684776541454,True
858014,0.776925498332201,0.784314590568252,0.463963146037347,0.658702462016222,0.386399671067412,0.237055442767521,0.619424343425038,0.720067634879536,True
513752,0.596817390538943,0.766741934792089,0.343545412550535,0.802478863242612,0.0299268072901001,0.205654945940996,0.368535160786631,0.249474163727571,True
189979,0.665576787011168,0.647742458361369,0.578165535273306,0.666499109585209,0.34552368525971,0.794881273208341,0.0674692045779191,0.146738294965295,True
520187,0.668608536667663,0.757542302576174,0.57855369907722,0.666557823336373,0.896345257220666,0.634874664413951,0.0766730738719254,0.76732313931805,True
90280,0.230739914790203,0.635208795298656,0.335435259487458,0.568112919545776,0.279549393284929,0.737283730047185,0.0276855486506805,0.954776513381132,True
502347,0.564931099059367,0.548072146809378,0.349328648679079,0.563311095589864,0.396776586394212,0.858254965377601,0.88334248574424,0.944834027434355,True
541097,0.165051632610274,0.780966706368346,0.577105021835986,0.619884091116801,0.696000127837353,0.222870799081565,0.296692547259592,0.47191925140528,True
555190,0.833630025236298,0.731904153124217,0.330753209942546,0.699631721066322,0.206290826062275,0.441599175841557,0.580495072368621,0.0401921607902049,True
653415,0.324294821703753,0.703884520197677,0.120758437953843,0.856552322313869,0.585148396595906,0.975131827402538,0.971553684705031,0.486496482165493,True
569740,0.272218148201407,0.824248957240542,0.296512464073025,0.782143163750812,0.942881181125014,0.204489931501031,0.364555746705298,0.152157503226677,True
