,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
10761,0.512144325906803,0.771968403364276,0.231347081003823,0.75403663204186,0.591665653018953,0.748102778542882,0.941190872892151,0.12411042117915,True
34803,0.75519633474751,0.71619186026269,0.330874481147335,0.638567665392688,0.0836288537631889,0.698726263855772,0.438537741669592,0.709134515958671,True
210445,0.982509576952239,0.747749124218287,0.629420637518514,0.419679494206886,0.0374558332563562,0.881766936942541,0.44228868249255,0.641226062706232,True
215542,0.916680194037152,0.79455420837802,0.59228552941162,0.513055426598019,0.151518334840306,0.636170069963872,0.38802970277546,0.700195368499483,True
243560,0.98064808260801,0.700414924717241,0.514337614974747,0.44788908527025,0.179470916985861,0.563660089640789,0.601410435757271,0.925735603973206,True
378326,0.504173867573509,0.702242643382882,0.241225689453443,0.767008073930506,0.402627403057637,0.593903788786752,0.922247359675419,0.22738584060825,True
429201,0.944886387411945,0.815477379607001,0.552722440801263,0.508854099990351,0.103275085000503,0.132006871553032,0.404915014751308,0.879956021958597,True
496971,0.684197550921928,0.634804449279832,0.232439052149875,0.722636251297788,0.459290536522895,0.706666918599099,0.86986989047989,0.125141786624475,True
503916,0.516997180385142,0.736003151117288,0.232436171715533,0.735323686856825,0.606432532445469,0.760142502601583,0.87198595632327,0.255092738366013,True
511943,0.869830074413445,0.669589170643593,0.369462026194986,0.564153500878131,0.0397907145784499,0.905348971913216,0.444466043060276,0.828917751224608,True
544177,0.621018208609239,0.613000642658526,0.235344937343822,0.70409987739842,0.476102229989244,0.52327573773034,0.936600871504346,0.123827917873009,True
591971,0.980832352358538,0.698395463778887,0.595047367548602,0.471178896725777,0.168363858174338,0.703434963216612,0.379316745902582,0.751365340505375,True
739048,0.49678173183855,0.678757307353977,0.211032937858509,0.704713876028923,0.757406168813794,0.456147528885808,0.969495285784457,0.317870621139571,True
764919,0.963333630800864,0.716678068236907,0.526935365574713,0.526594778977316,0.152518280879609,0.787431906643118,0.562761021386458,0.789157811538102,True
891026,0.468845237827945,0.665173797888276,0.273872902140239,0.706793511934243,0.747639974535557,0.65648276526033,0.844197941703105,0.566486564019651,True
942977,0.947336215183833,0.737972285976894,0.517982414595439,0.532709287032894,0.0341044984128993,0.623186251707534,0.214744124322912,0.850693120871247,True
951035,0.899104428651984,0.756303178052231,0.496999742012819,0.511573104766783,0.00143338341494461,0.569948647455995,0.416945966672907,0.889687339769764,True
979693,0.959420648842559,0.685678479202411,0.507004876313355,0.483041871765989,0.0396117629940828,0.838700119613462,0.644693651034951,0.732307363689036,True
122880,0.189818486015418,0.828158880477058,0.252167964788171,0.679518315355951,0.629932724724714,0.825261732192135,0.984666696066967,0.175695858991116,True
890936,0.915636881191974,0.680085315551003,0.289883270250477,0.626124265428604,0.119287997796216,0.381924119116093,0.542447020103867,0.810966625745899,True
603861,0.697578088934109,0.790822627794022,0.788865572101036,0.41831405614647,0.0502773160970035,0.854475456152285,0.479315983211843,0.224441853726106,True
507111,0.779437611481285,0.80418819680366,0.631226646854917,0.584574986213456,0.0314051402499652,0.281678125103314,0.233386058120763,0.727951796552638,True
984992,0.353743561420294,0.657029572875307,0.262145436690623,0.751171622315507,0.0988548523989363,0.881562257937704,0.834825725138323,0.681873139366207,True
318019,0.559558323239275,0.693918390101686,0.820429779793887,0.441601788644397,0.758014310428845,0.331094894015635,0.304494267635699,0.751132570008614,True
691295,0.33684526280265,0.710569238711137,0.445107453989555,0.729076369625086,0.799600927972072,0.206385073832011,0.241837819306708,0.500013102924485,True
910055,0.902952718297825,0.772964475949956,0.245865498491827,0.650778063123802,0.341859530822821,0.690948039107078,0.448151778319243,0.569472635458657,True
665366,0.822479305394831,0.887255982169591,0.70289846333048,0.466848824335766,0.320347569785118,0.0576328337908358,0.721753303930354,0.484667709204642,True
434837,0.455988745845152,0.616296603644825,0.594569583090136,0.644371400128903,0.943533568280445,0.765818504114297,0.504289114054969,0.595509971665969,True
136088,0.857545122916054,0.948730754061801,0.70350105684594,0.41358785395881,0.307464246377615,0.363757421836679,0.497927227156716,0.938427577896173,True
775713,0.746673625211254,0.618847182076951,0.563535799680744,0.409751428037852,0.264730480659312,0.678252065125811,0.531709670160036,0.789407929096459,True
269735,0.0934770204026867,0.896249495570312,0.908710864916409,0.642135239811666,0.756859339098297,0.416287169562335,0.0325459745941888,0.17064215215332,True
103825,0.621582968713568,0.61246927222461,0.339334217275043,0.708664876886371,0.10692012608153,0.544439360038071,0.723595625802918,0.518618611282895,True
801353,0.385894944707361,0.74302630997214,0.290220041738089,0.652198429233857,0.454360174748469,0.350937996492175,0.877887971176281,0.828431872597624,True
404903,0.351364877212571,0.620720721105743,0.169821165956227,0.745015984112954,0.862221947071356,0.331431511769105,0.547477495346847,0.712754051479847,True
875762,0.788135403762337,0.803746916827714,0.442415348086617,0.69422933923742,0.328509185906253,0.150391546627485,0.144646576069806,0.925093753854309,True
936084,0.43748798167022,0.593738071038319,0.26045294735596,0.779737230450299,0.669947918442482,0.966334175428864,0.820008676396516,0.515487799380589,True
287711,0.11948855347387,0.916539300472584,0.74851520443476,0.613386774025082,0.542284122918794,0.0256201505194492,0.505821805957573,0.222228710811357,True
894141,0.308361313110451,0.576902498067969,0.476176914969018,0.737828981348906,0.415250659124083,0.818873708960112,0.210242803827485,0.567848223581916,True
970046,0.496559239994302,0.907424548096898,0.732507528249067,0.575293029514594,0.489608223710512,0.167460833812681,0.00527999164524783,0.25214127020879,True
101201,0.480649649031899,0.662088283757965,0.490062654552383,0.52446055220481,0.861280818935306,0.0421729049335757,0.537854513261974,0.898020104911026,True
969423,0.890523198349557,0.645500293963521,0.781018771181918,0.482270436142283,0.380742879850068,0.888938103696841,0.369477460961174,0.93145486447741,True
829540,0.713937076181651,0.856649778168682,0.363537961289353,0.473822893008768,0.973059476308011,0.551418513334511,0.915509355212326,0.489964358916207,True
346390,0.763862045862391,0.561098255506082,0.550845312799841,0.436567906564327,0.0211869380403922,0.242467756230257,0.868358268490297,0.915067287212278,True
668566,0.659970064905505,0.788407773317456,0.241524918028873,0.532321181772902,0.701464031956718,0.199150543993904,0.858747132483683,0.522366184468041,True
205105,0.732183022490271,0.617641091116724,0.752713170888017,0.401313066257215,0.933191287201147,0.51687869548406,0.261483250178862,0.999275524011154,True
777065,0.310378378937333,0.547564311950948,0.418250523228429,0.635742212476449,0.113324145977256,0.736273991719986,0.456077159305573,0.859885055061333,True
