,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,temperature,uc_mean_distance,uc_mean_distance_Cl,uc_mean_distance_O,uc_mean_distance_N,uc_mean_distance_H,lattice_ape,job_id,abs(HB3-HB4),log(abs(HB3-HB4)),abs(HA3-HA4),log(abs(HA3-HA4)),scaled_temperature
0,0.23106594216873644,0.719551504347861,0.2701910928419871,0.6354704257043492,0.025130899950554307,0.193912222365288,0.7665009461418242,0.7329364558965401,298,0.14649557558440826,0.13806122245562594,0.19681444000689585,0.1549299287131905,1.0578771994719114,1.5868691314965293,c2e5578d124f780237068509abe4bbd5,,,,,1.0
1,0.23106594216873644,0.719551504347861,0.2701910928419871,0.6354704257043492,0.025130899950554307,0.193912222365288,0.7665009461418242,0.7329364558965401,78,0.1211454970783916,0.11823220427473495,0.15246440179593773,0.1240587898820482,0.2395972869397269,1.434396177279598,becab80c424285a226261e47744eebbf,,,,,0.2361111111111111
2,0.23106594216873644,0.719551504347861,0.2701910928419871,0.6354704257043492,0.025130899950554307,0.193912222365288,0.7665009461418242,0.7329364558965401,10,0.15460176869564984,0.08529670644246118,0.12040718838076013,0.08285061766354965,0.22406040233186172,0.923180833402244,5ee8da8edeec22d9f951d75068d4efa0,0.000379639004869814,-7.876289743952353,0.04079431029299485,-3.1992126608996463,0.0
3,0.4162206387753362,0.7199665742869342,0.4879389821156561,0.7259026161970479,0.4083218830096721,0.40551162270874297,0.18030741820573498,0.262986683800952,298,0.13243576859379375,0.13429709165780745,0.20958986674020094,0.13057444552978004,1.0564016808118786,1.3306948595875707,ab6f9ef3c2c36b6e440f8e713eba813e,,,,,1.0
4,0.4162206387753362,0.7199665742869342,0.4879389821156561,0.7259026161970479,0.4083218830096721,0.40551162270874297,0.18030741820573498,0.262986683800952,78,0.09914503450801578,0.096682009551476,0.1443048023131289,0.10160805946455556,0.2190822370540606,1.2193579140306925,296af25c477b2066a2e324d7ed5dc451,,,,,0.2361111111111111
5,0.4162206387753362,0.7199665742869342,0.4879389821156561,0.7259026161970479,0.4083218830096721,0.40551162270874297,0.18030741820573498,0.262986683800952,10,0.14523893682596362,0.0877284126362256,0.12047943680989105,0.07162863250866082,0.2027786439687964,0.6489974803853967,7b18d966b2a420c6a875311383d79ce2,0.000495614102390185,-7.6097129534281205,0.10507009178101613,-2.253127610759268,0.0
6,0.4210968803023132,0.686146376315874,0.48635669683162147,0.583015239881571,0.19642471570729897,0.579902838853639,0.452982506738916,0.427843307285763,298,0.1343101372445847,0.12958244270334418,0.20711729868303205,0.13903783178582524,1.0599064726395704,1.48558600389675,e924a568a15da3b31af50a1f902a9e92,,,,,1.0
7,0.4210968803023132,0.686146376315874,0.48635669683162147,0.583015239881571,0.19642471570729897,0.579902838853639,0.452982506738916,0.427843307285763,78,0.12532187404219075,0.11995106228003034,0.15041912182547426,0.13069268580435112,0.2357157754698885,1.5755159078077778,3dbd44b5198fd6fa598ff2fb3ab86cc3,,,,,0.2361111111111111
8,0.4210968803023132,0.686146376315874,0.48635669683162147,0.583015239881571,0.19642471570729897,0.579902838853639,0.452982506738916,0.427843307285763,10,0.1483371880971719,0.07524735155737944,0.10882429098713188,0.0828463693351651,0.2224952490326617,0.7695786944079827,d6894041b12bd14aafc5f4c15d248e4f,0.00017423753139000908,-8.655091066751838,0.01694684302998439,-4.077673714421045,0.0
9,0.4417171245537608,0.6698798583141438,0.44331392278286597,0.628151541099564,0.9524660172146399,0.8516414533911051,0.9565959030169799,0.325463554898955,298,0.10855265458246556,0.11722209119950452,0.1813003521350234,0.09988321796542657,1.060652767369318,0.98604918360224,b4be3e06866b94ae5f40100f2b7147ed,,,,,1.0
