,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,temperature,uc_mean_distance,uc_mean_distance_Cl,uc_mean_distance_O,uc_mean_distance_N,uc_mean_distance_H,lattice_a_PE,lattice_b_PE,lattice_c_PE,lattice_ape,job_id,abs(HB3-HB4),log(abs(HB3-HB4)),abs(HA3-HA4),log(abs(HA3-HA4))
436,4.167069295484648,1.6193977341502777,3.5078640914947643,3.3014106751662036,0.567250129588324,0.013672224962695082,0.031516234618567375,0.10337641424161448,78,0.10390454193115292,0.12825107318075119,0.15308671212216016,0.07955801068155464,0.22879911613690743,0.1707527943345327,2.8628567909777214,0.05710621781705057,1.0302386010431015,b040f14d1920d0f69ea9b0c5e6b58856,,,,
437,4.167069295484648,1.6193977341502777,3.5078640914947643,3.3014106751662036,0.567250129588324,0.013672224962695082,0.031516234618567375,0.10337641424161448,10,0.2059383410677631,0.13692633212603408,0.17202786904834733,0.12141386503171386,0.2782329343316235,0.9685172598264682,2.0449733179062353,1.2560307145840024,1.4231737641055684,2e8f9f6f0819848645c999d697eb973b,0.041063882410469876,-3.192626317295596,6.7596504531559845,1.910971180604942
438,4.179136162839316,1.3985548544458597,2.9789237853928605,3.1758608616707713,0.23501689690035893,0.001501904425426232,0.07880267793833838,0.2674197118515816,298,0.3574851639275778,0.35704291157163737,0.38115169398328064,0.3579274162835182,1.097324864070672,-6.067042529459893,4.738326330343801,-3.3006134056653385,4.701994088489678,9967029288ddbb54d6ce3df39e042ed3,,,,
439,4.179136162839316,1.3985548544458597,2.9789237853928605,3.1758608616707713,0.23501689690035893,0.001501904425426232,0.07880267793833838,0.2674197118515816,78,0.35340348098751906,0.3541887597699036,0.37575197424966006,0.3526182022051345,0.398629774601129,-5.829524137598599,5.011705219564967,-3.379051631153304,4.74009366277229,7d5c3ee60ac21ab85b5f893611394e1a,,,,
440,4.179136162839316,1.3985548544458597,2.9789237853928605,3.1758608616707713,0.23501689690035893,0.001501904425426232,0.07880267793833838,0.2674197118515816,10,0.3389161610213439,0.3082418591376035,0.3326875313124172,0.30157953738053467,0.3621475221114081,-5.23843921905565,4.313303003280496,-2.3354376256099,3.962393282648682,62f46e9ad1d69b9fa4f63402d8d0da44,0.0008683257773900444,-7.048943594144913,0.010170801451010902,-4.588234266617516
441,4.181461729257514,1.8890734006941472,3.469960363838167,3.0490137572424425,0.674442142238366,0.00508671949227984,0.18416423433907403,0.23200959985048253,298,0.21546339072785822,0.25286398230530505,0.26312285565550253,0.1780627991504114,1.059739962888098,1.461671333717228,4.4679215041200315,1.7852827498043933,2.5716251958805514,b1b8a8d930ace5cddbb4630fa871175b,,,,
442,4.181461729257514,1.8890734006941472,3.469960363838167,3.0490137572424425,0.674442142238366,0.00508671949227984,0.18416423433907403,0.23200959985048253,78,0.1761661769858232,0.18249351252579749,0.18528541806072263,0.16983884144584893,0.2620022822353936,0.7781480591928809,5.009228466488514,1.4336135247666997,2.4069966834826984,e8154c16b6dcb3ce2efc87f03967a60c,,,,
443,4.181461729257514,1.8890734006941472,3.469960363838167,3.0490137572424425,0.674442142238366,0.00508671949227984,0.18416423433907403,0.23200959985048253,10,0.22625240257443155,0.2018796772907352,0.19984801642492828,0.1920774323588323,0.2672937125987588,1.5546801226530675,4.3215322474586175,2.598832385177284,2.8250149184296567,f9c4583523f19bc2bca365f7597519e2,0.0003735212300197688,-7.89253571425773,0.03895344330697981,-3.2453881073126456
444,4.182678976728349,1.7551185585765336,2.9568315255473867,3.2115369567174166,0.20908278594245971,0.00252917528421838,0.13284768730472324,0.0781490127804415,298,0.21083933621348686,0.20434091768266083,0.2988552976231257,0.21733775474431288,1.0700533645737478,-3.6089712842853943,0.1577801629922036,-2.8652204530524688,2.210657300110022,75fb5ac524baad458b4ebddc5092c9f6,,,,
445,4.182678976728349,1.7551185585765336,2.9568315255473867,3.2115369567174166,0.20908278594245971,0.00252917528421838,0.13284768730472324,0.0781490127804415,78,0.21354348944755178,0.1864463455395646,0.2882809995247115,0.24064063335553895,0.4408616976477933,-3.094017510830674,-1.7101384796680306,-3.0004275457477187,2.6015278454154744,3c2e6607e1516c357cbb24b70a9441c2,,,,
446,4.182678976728349,1.7551185585765336,2.9568315255473867,3.2115369567174166,0.20908278594245971,0.00252917528421838,0.13284768730472324,0.0781490127804415,10,0.3327260901257547,0.15023140210902441,0.28343372802977534,0.23061588377299014,0.45316967581410783,-2.3303993258776767,-2.7615710546914745,-1.8745596555929478,2.3221766787206994,f4240dcb624ff6747980e7092501a646,0.10591972310868991,-2.2450738009519737,10.452108191147005,2.346803698843503
447,4.184197550921928,1.4522066739197481,2.8021707677948373,3.439427126687124,0.4215033755660266,0.01413333837198198,0.1752752791911791,0.055039700254853,298,0.15857473743997974,0.15586682593128337,0.254816123613822,0.16128264894867608,1.0557698039150187,-2.117906076852882,1.4692485257943906,-2.2377963376892698,1.9416503134455139,363335e82712e22ce7cc9ed7c447ccc8,,,,
448,4.184197550921928,1.4522066739197481,2.8021707677948373,3.439427126687124,0.4215033755660266,0.01413333837198198,0.1752752791911791,0.055039700254853,78,0.1818911037715034,0.17559378487058983,0.21067762690086253,0.18818842267241695,0.25191668568550096,-2.5697146742593353,2.1493632746779596,-2.7277798477525166,2.482285932229937,c4d7a169b381ed39ac0df08a13944f23,,,,
449,4.184197550921928,1.4522066739197481,2.8021707677948373,3.439427126687124,0.4215033755660266,0.01413333837198198,0.1752752791911791,0.055039700254853,10,0.18130671018692132,0.12478382215055,0.16523572634766562,0.13093640257586103,0.22410099293803498,-1.8661842391630135,1.515095524299728,-1.6067199462890867,1.662666569917276,f96b2931c2289347d8f1c376b66d9804,0.0003301648773099686,-8.01591840006434,0.052487769930991135,-2.947175090217893
450,4.190336334235215,1.4620756944246844,2.944636660934258,3.5162155776504456,0.6886655320388759,0.01632252251092094,0.04537290405384991,0.2148606229197533,298,1.0444240427323943,1.005149496650703,1.4356374749750023,1.0836985888140855,1.4751740731588843,16.76195036177565,-8.222371965983417,4.932651492087116,9.972324606615395,127d173d38c183ba2d172aa5749440b2,,,,
