,index,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,temperature,uc_mean_distance,uc_mean_distance_Cl,uc_mean_distance_O,uc_mean_distance_N,uc_mean_distance_H,lattice_ape,job_id,abs(HB3-HB4),log(abs(HB3-HB4)),abs(HA3-HA4),log(abs(HA3-HA4)),scaled_temperature,Lattice_MAPE,Pareto
33,101,0.3845462303269511,0.755805146847766,0.5510601263866604,0.48409918302545285,0.15778092762494206,0.5267832544011649,0.873425923851486,0.6774092422729929,10,0.11421001015676308,0.0388403825046097,0.0600031735366266,0.047854081719373484,0.20384823579928532,0.4218599556918667,943b56edcc279af0a6cacec1abfaf725,4.014163264010051e-05,-10.123096541778477,0.047364953067983606,-3.049872710513705,0.0,1.300080814683571,True
45,137,0.5280178425586817,0.685471246906313,0.45492286947377597,0.49748693661860427,0.5238946436320151,0.5836425771277021,0.970237061962553,0.7814362378989601,10,0.1269505010171732,0.0491109134214217,0.08207156524532047,0.055799639712091516,0.20907704901423424,0.4593593805005197,c04eacf63edd23a01c07326abd210afb,0.0005023832911099646,-7.596147201504342,0.07368780420199528,-2.6079179724217156,0.0,0.6221715370522685,True
52,158,0.6027140969997342,0.645020204789389,0.4858368656561441,0.674925923664173,0.9650175081916691,0.9347875501806769,0.336450457382724,0.370971896680291,10,0.1516352884369703,0.10747817145175907,0.12849708522344272,0.07267908181768254,0.2055518225516226,0.8860250569831103,f6fd338f7ba2804b0ede1177501730b6,0.00037506730282022005,-7.8884050739101745,0.09024822905098516,-2.40519130466544,0.0,0.5314126795655267,True
55,167,0.7194338466350967,0.7455132464886178,0.46152740804891645,0.490549901075539,0.8718042723643799,0.385236638674515,0.875532184803227,0.7592878782754768,10,0.12470025330789462,0.0723643036681519,0.09028498770852902,0.034554086371442805,0.19473604805130887,0.18545912604483905,dc272cc15ae4ef86ec91d060ae391cbc,0.00013270755813987734,-8.927362661655179,0.027820411799012845,-3.581985290331373,0.0,0.869896172199792,True
